Num_Acc;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202100038576;132A 693;A01;1;1;1;1;1989;4;1;-1;-1;0;0;-1
202100033293;142A 255;A01;1;1;4;1;1982;5;1;0;-1;-1;-1;-1
202100054883;103A 706;C01;1;1;4;2;1972;1;1;0;-1;-1;-1;-1
202100003053;196A 309;E01;1;1;1;1;1984;5;1;-1;-1;-1;0;-1
202100003201;196A 048;A01;1;1;1;1;1977;4;1;-1;-1;0;0;-1
202100027258;152A 995;B01;10;3;4;1;1955;9;0;-1;-1;0;9;1
202100014026;176A 631;A01;1;1;4;1;1988;5;8;0;-1;-1;-1;-1
202100026575;154A 200;A01;1;1;4;1;1997;5;8;-1;-1;0;0;-1
202100039477;131A 042;A01;1;1;1;1;1991;4;1;0;-1;0;0;-1
202100033495;141A 907;A01;2;2;3;2;1990;0;1;-1;-1;0;0;-1
202100038214;133A 337;Z01;1;1;1;-1;;-1;-1;-1;-1;-1;-1;-1
202100013726;177A 170;A01;1;1;1;1;1992;-1;1;0;0;-1;-1;-1
202100029809;148A 504;A01;1;1;1;1;1975;1;1;0;-1;-1;-1;-1
202100046984;117A 799;A01;1;1;4;1;1989;1;2;6;-1;0;0;-1
202100045980;119A 564;B01;1;1;1;1;1982;1;1;0;-1;0;0;-1
202100053929;105A 350;B01;1;1;4;1;1972;0;1;-1;-1;-1;-1;-1
202100014727;175A 389;A01;1;1;1;1;1997;4;1;0;-1;-1;-1;-1
202100056414;101A 061;A01;2;2;4;1;2007;5;2;0;-1;-1;-1;-1
202100026987;153A 474;A01;1;1;1;2;1991;1;1;-1;-1;0;0;-1
202100035515;138A 229;B01;1;1;4;2;1981;1;1;0;-1;-1;-1;-1
202100014274;176A 185;A01;1;1;1;1;1955;4;1;-1;-1;0;0;-1
202100016464;172A 198;A01;1;1;2;1;1959;5;2;-1;-1;-1;-1;-1
202100007981;187A 467;A01;1;1;1;1;2003;0;1;0;-1;-1;-1;-1
202100016279;172A 536;A01;1;1;1;1;1935;0;1;-1;-1;0;0;-1
202100005285;192A 339;B01;1;1;4;1;1990;9;8;0;-1;-1;-1;-1
202100027688;152A 224;A01;10;3;4;1;2004;0;0;-1;-1;2;3;1
202100002232;197A 800;A01;1;1;1;2;1997;1;1;0;-1;-1;-1;-1
