Num_Acc;dep;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;larrout;surf;infra;situ;vma
202100017820;71;3;PARIS (AVENUE DE);0;Inconnu;2;2;0;1;0;135;1;-1.0;1;5;1;50
202100048200;34;1;709;0;Inconnu;3;3;0;1;13;600;1;-1.0;1;0;1;90
202100034318;94;4;ANATOLE FRANCE (AV);0;Inconnu;2;2;0;1;1;0;1;-1.0;1;0;1;30
202100014889;64;3;834;-1;Inconnu;2;2;0;1;25;830;1;-1.0;1;0;1;80
202100008186;68;3;12;2;B;2;2;0;2;17;600;3;-1.0;2;0;1;80
202100002091;30;3;135;0;D;2;2;0;1;29;1130;1;-1.0;1;0;3;80
202100032087;83;4;JUIN ( BOULEVARD DU MARECHAL );0;Inconnu;2;2;0;1;0;0;1;-1.0;1;0;1;50
202100027556;11;4;MULLOT ARTHUR AV. PAIRS;0;Inconnu;2;3;0;1;1;0;1;-1.0;1;0;1;50
202100012382;69;4;GARIBALDI                           (R );0;Inconnu;1;3;3;1;-1;-1;1;-1.0;1;0;6;50
202100024032;94;3;FONTAINEBLEAU (AV DE);0;Inconnu;2;5;1;1;0;0;1;-1.0;1;0;1;50
202100002854;30;3;;-1;Inconnu;2;2;0;2;1;308;3;-1.0;1;0;1;80
202100035517;13;4;MADRAGUE VILLE (chemin de la);0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;50
202100041678;13;4;DRAGON (RUE);0;Inconnu;1;1;0;2;-1;-1;1;-1.0;1;0;1;50
202100029156;75;4;QUAI DE GRENELLE;0;Inconnu;2;5;0;1;-1;-1;1;-1.0;1;0;1;50
202100030612;14;4;;-1;Inconnu;2;2;0;1;-1;-1;3;-1.0;1;0;1;80
202100049783;93;3;GAGNY (AVENUE DE);0;Inconnu;1;4;1;1;0;1;1;-1.0;1;5;1;50
202100037411;69;4;BOUCLE (DE LA)                      (MO);0;Inconnu;1;2;1;2;-1;-1;2;-1.0;1;0;5;50
202100045902;93;4;JAURES (AVENUE JEAN) DE 28 A 62;0;Inconnu;2;2;0;1;0;0;1;-1.0;2;0;1;50
202100021689;57;3;674;0;Inconnu;2;1;0;3;56;380;1;-1.0;1;0;1;70
202100030636;35;3;125;0;D;2;2;0;1;3;972;1;-1.0;2;2;1;80
202100004746;56;4;THOMAS ( ET  IMP. ALBERT );0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;5;1;30
202100030984;78;4;CEP AVENUE DU;0;Inconnu;-1;1;0;1;-1;-1;2;-1.0;1;9;1;50
202100047490;64;3;BAYONNE (AVENUE DE);0;Inconnu;2;4;0;1;9;365;1;-1.0;1;0;1;50
202100009552;78;1;A86 EXT;0;Inconnu;3;3;0;2;59;400;1;-1.0;2;0;1;90
