id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
193A370;A01;3;15;0;2;1;1;0;0
116A513;A01;2;7;6;0;2;0;0;0
144A560;A01;0;7;0;1;7;15;1;0
159A576;A01;1;7;2;0;2;6;1;0
125A177;A01;0;7;13;0;1;1;1;0
116A030;A01;3;10;0;2;1;26;1;0
155A867;Z01;2;7;0;1;1;1;0;0
147A639;A01;1;7;0;2;5;15;1;0
200A476;A01;1;10;0;1;2;19;6;0
179A379;A01;1;37;0;1;2;2;1;1
166A253;B01;0;7;7;2;1;1;1;0
193A882;C01;2;32;0;2;1;2;3;0
132A326;A01;1;7;0;9;2;16;1;0
148A712;A01;1;43;0;2;2;19;1;0
128A004;A01;2;7;0;2;8;1;1;0
110A252;C01;1;7;0;2;1;2;1;0
109A705;A01;0;30;0;2;1;6;1;0
200A314;C01;1;30;0;2;1;1;1;0
124A612;A01;1;7;0;2;1;1;1;0
155A583;B01;2;13;0;0;6;1;1;0
117A897;A01;0;37;0;1;1;1;1;1
191A719;A01;2;50;0;0;0;5;3;0
146A009;A01;3;7;0;2;1;19;1;0
134A863;A01;1;7;12;2;3;1;1;0
158A973;B01;1;31;0;2;7;1;1;0
176A525;A01;2;7;6;0;1;1;1;0
116A147;A01;2;10;0;2;4;1;1;0
140A608;A01;3;32;0;1;1;17;1;0
137A318;B01;2;7;0;0;1;1;1;0
177A664;B01;2;30;0;2;1;17;1;0
101A608;A01;0;7;0;1;3;16;1;0
104A787;A01;2;7;11;0;2;1;1;0
120A017;A01;3;33;0;0;0;1;1;0
141A982;C01;1;7;0;2;1;1;1;0
151A755;A01;0;2;0;2;8;10;1;0
158A090;A01;3;7;0;2;1;1;1;0
103A841;A01;2;7;0;1;8;1;1;0
166A986;A01;1;50;0;1;4;25;3;0
118A366;B01;1;7;0;2;4;0;0;0
195A731;B01;1;33;0;2;1;1;1;0
101A186;A01;1;7;0;2;1;1;1;0
174A792;A01;2;7;0;2;1;2;1;0
112A883;A01;1;10;0;2;5;15;1;0
186A694;B01;1;17;0;0;1;21;1;0
129A435;A01;3;7;0;2;1;1;1;0
126A828;B01;0;50;0;0;-1;1;3;0
167A233;A01;2;1;0;2;1;5;5;0
150A501;A01;0;7;0;2;1;12;1;0
127A941;B01;1;7;0;2;1;1;2;0
125A819;B01;2;32;0;2;3;1;1;0
186A038;A01;1;7;13;0;1;16;1;0
180A242;A01;2;7;0;2;1;26;1;0
148A334;A01;2;7;0;2;2;1;1;0
197A893;A01;2;7;0;0;1;1;1;0
126A124;A01;2;10;0;2;9;1;1;0
134A590;B01;2;7;0;2;3;1;1;0
181A540;A01;0;7;0;2;1;1;1;0
182A354;A01;1;10;0;2;4;0;1;0
113A944;B01;1;7;0;2;4;2;1;0
195A761;B01;2;7;0;2;2;1;1;0
163A555;A01;1;7;0;2;6;2;2;0
190A845;A01;0;7;0;1;3;17;1;0
123A516;A01;1;7;2;2;0;26;1;0
113A071;A01;1;7;0;2;1;2;1;0
110A439;A01;1;7;0;2;5;19;1;0
127A088;A01;2;7;0;2;6;15;1;0
143A080;B01;1;37;0;2;1;1;1;1
174A172;A01;1;7;0;2;2;1;1;0
158A289;B01;1;7;0;2;4;1;1;0
146A416;A01;2;7;4;0;1;1;1;0
172A011;B01;1;10;0;2;3;13;1;0
148A514;B01;3;33;0;2;1;1;1;0
154A885;A01;1;7;0;2;1;1;1;0
183A333;A01;0;7;0;0;0;0;1;0
179A759;A01;2;1;0;2;1;11;0;0
139A892;A01;3;30;0;2;1;18;1;0
191A634;A01;1;7;0;1;1;1;1;0
148A988;A01;2;7;2;0;1;13;1;0
189A019;B01;1;7;0;2;3;1;1;0
121A038;A01;3;1;8;0;1;21;5;0
157A091;B01;2;7;0;0;8;0;0;0
158A027;B01;2;1;0;0;4;1;5;0
185A549;C01;1;7;0;2;0;0;1;0
189A763;A01;2;2;0;1;3;1;1;0
194A981;A01;3;7;0;2;8;15;1;0
137A273;A01;2;7;0;0;1;1;1;0
193A768;B01;2;7;0;2;4;2;1;0
166A086;A01;3;31;0;2;1;2;1;0
178A377;A01;1;7;0;1;1;15;2;0
155A586;B01;0;33;0;2;7;0;1;0
162A045;A01;2;10;16;0;9;1;1;0
158A572;D01;1;7;0;2;4;1;2;0
199A542;B01;3;7;0;1;2;1;1;0
161A071;A01;2;15;0;2;7;14;1;0
156A803;B01;2;7;0;2;4;2;1;0
187A191;C01;1;10;0;0;6;24;0;0
136A497;Z01;0;7;0;1;1;26;0;0
139A632;A01;2;33;0;2;2;1;1;0
162A139;A01;3;7;0;2;3;1;1;0
